mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_mean_21,mfcc_mean_22,mfcc_mean_23,mfcc_mean_24,mfcc_mean_25,mfcc_mean_26,mfcc_mean_27,mfcc_mean_28,mfcc_mean_29,mfcc_mean_30,mfcc_mean_31,mfcc_mean_32,mfcc_mean_33,mfcc_mean_34,mfcc_mean_35,mfcc_mean_36,mfcc_mean_37,mfcc_mean_38,mfcc_mean_39,mfcc_mean_40,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20,mfcc_std_21,mfcc_std_22,mfcc_std_23,mfcc_std_24,mfcc_std_25,mfcc_std_26,mfcc_std_27,mfcc_std_28,mfcc_std_29,mfcc_std_30,mfcc_std_31,mfcc_std_32,mfcc_std_33,mfcc_std_34,mfcc_std_35,mfcc_std_36,mfcc_std_37,mfcc_std_38,mfcc_std_39,mfcc_std_40,label,filename
-469.5259,54.409466,-41.08406,0.3345331,-0.59609735,-0.346198,15.817324,-0.25933948,8.282875,6.927025,8.084286,7.981748,1.429392,11.047073,-2.5861742,10.726256,1.8149246,5.5471644,-1.3555864,1.1027278,6.767711,9.023389,4.210876,2.399809,-0.9931915,9.45461,0.9106508,9.929565,-1.9547982,2.6744769,2.8446774,5.1944323,0.04688478,2.327751,2.4519143,2.7149713,-0.9570868,3.9363797,1.5317785,3.0971787,117.958,45.15645,34.04192,10.362195,9.689254,10.187272,13.094453,8.127999,9.660246,5.818799,6.867166,5.3333516,5.0674353,8.286849,5.824001,5.7694077,4.642685,4.974717,6.8836055,5.497657,6.4690337,5.4690423,4.081207,5.5753984,4.3991814,5.536492,3.8788495,5.4877963,4.4782686,3.9172084,4.4927897,5.2172995,3.8952982,3.7104917,4.4741216,3.5386946,3.5824945,3.971488,4.357846,3.4542704,termite,68625__headphaze__termites.wav
-501.31433,52.541077,-40.37049,-0.39736784,-1.0251251,-0.80980825,15.986633,0.049731165,8.4718685,6.844237,7.67951,7.718063,1.3084662,10.878832,-2.4651916,10.562592,1.8988351,5.6808996,-2.0546472,0.66137075,6.5507355,8.868643,4.5856833,2.7921503,-1.3191363,9.458022,1.2903433,9.881864,-1.9234166,2.4624987,2.5517986,5.3981223,-0.07393914,2.0703354,2.8040206,2.7747283,-1.6708646,3.6742857,1.6947197,3.1048484,109.88545,44.383232,33.589527,10.092977,9.463186,10.092932,12.668845,7.769091,9.447145,5.820954,6.5994496,5.1927495,5.125221,8.626036,5.826401,6.0437384,4.3193736,5.0251975,6.7193274,5.3286343,6.45135,5.157097,4.018998,5.7615595,4.448022,5.2223577,3.809998,5.9890776,4.957987,3.9718964,4.551005,5.104585,4.140645,3.5288787,5.212276,3.9227424,3.8932843,3.8360214,4.8411283,3.615346,termite,68625__headphaze__termites_aug_fast.wav
-302.97104,3.7771873,-4.0783925,-2.2688446,1.9662338,3.2699945,4.077852,2.3192868,1.7640097,3.041247,3.4785154,2.7206113,2.6296523,2.4904013,1.9875171,2.8062372,3.196809,1.7980859,0.0047899107,0.6428048,3.0659328,4.6475587,2.6917589,0.5430978,0.45385224,2.3512452,2.996653,3.1664338,1.373701,0.9777446,1.9049695,2.0080647,0.98834354,1.105033,1.5922502,1.3318334,0.7530894,1.3871293,1.5343108,1.0196719,15.671515,7.8181458,7.6163726,4.9221535,3.3180335,3.5214896,3.6022675,3.537349,3.7065372,4.0004907,4.1056447,3.8604243,3.5899708,3.584678,3.3819292,3.3794525,3.4688985,3.3603528,3.433031,3.1450863,3.7456982,4.329418,3.6776745,3.4807932,3.0660994,3.5614088,3.6705887,3.7454731,3.1330209,3.0124815,3.499113,3.7670531,3.0020747,3.0130386,3.2335505,3.0008442,3.035521,3.0483692,3.4198058,2.7793343,termite,68625__headphaze__termites_aug_noise.wav
-512.1711,72.945435,-51.3968,9.556451,-12.964867,7.973185,-0.46974123,17.341085,-10.849452,21.905418,-9.135756,23.917349,-11.340713,20.052324,-6.295435,10.535466,-0.39276966,10.608033,1.6660657,5.245704,-6.483983,6.616741,2.5852222,11.19966,3.4994652,0.32522085,5.4212465,-1.8468925,10.139774,3.490959,4.3808064,-0.838631,6.3046017,1.4191732,4.0911756,-1.2739273,7.0909877,-0.8453096,4.0002785,-2.46372,106.428665,45.844402,30.2984,10.494415,11.842267,14.776425,10.549408,8.749151,8.507252,8.832028,7.189708,9.249927,7.911397,8.210511,6.2681174,6.2813473,6.645588,5.5604963,5.0920563,6.6085157,5.6673946,6.77743,4.9399886,4.7410855,5.5119715,4.7776012,3.9524155,4.105759,4.366201,4.739424,4.2019753,3.840213,3.88027,5.132946,4.016339,3.720723,4.3460865,4.062943,3.742212,3.8336346,termite,68625__headphaze__termites_aug_pitchdown.wav
-504.19604,46.8147,-43.114944,7.5603485,-1.9662634,8.568858,12.761969,0.6640011,11.79698,5.9202356,9.913375,3.1197267,8.093901,4.0382533,2.9654062,8.3633795,-2.032697,4.999383,0.6068065,13.642665,4.643471,3.8474815,0.11974609,6.895192,8.07749,2.7707245,3.002149,0.53523695,3.7196631,6.958788,-1.6728463,3.0290835,1.0177672,4.4058642,-1.2203592,5.6676207,0.87272173,2.3278396,-0.9785274,3.6765513,113.24991,39.510242,34.406803,12.28304,8.504329,6.57805,12.644059,7.7461643,10.089837,6.870743,8.4917755,5.643509,7.5095487,4.854464,4.64054,5.3433266,6.224016,6.852524,5.862488,6.169626,5.564394,4.083805,5.786788,5.0453215,6.4822683,4.496869,5.498648,4.9050255,4.555257,4.947465,4.353391,4.007299,4.578897,4.4646106,3.973082,4.5988593,4.6806316,3.201828,3.3421187,3.6277602,termite,68625__headphaze__termites_aug_pitchup.wav
-502.78445,51.830666,-40.60963,0.36402178,-0.36831298,-0.38912898,16.265955,-0.09164752,8.238956,7.081227,8.039126,7.864398,1.3398235,10.779055,-2.8002799,10.774471,2.4550905,6.0981827,-1.0136805,1.2266247,6.841679,9.008624,4.398261,2.5418622,-0.8933192,9.949285,1.2245001,9.995145,-2.1174362,2.5932715,3.015747,5.6018376,0.27773607,2.4811792,2.4458797,2.6592164,-0.7691901,4.1111765,1.600617,3.420201,110.37224,44.27076,33.532955,10.448721,9.487725,10.126774,12.829451,8.418187,9.692311,5.9209523,6.96259,5.569403,5.001579,8.09925,6.2027507,5.5930715,4.766336,4.718537,6.662134,5.5006685,6.5754194,5.607336,4.237378,5.508926,4.361553,5.653203,4.3340054,5.6107497,4.9533,4.1319265,4.5082703,4.9379253,4.20217,4.0653644,4.8843513,3.7880123,4.0386806,4.33118,5.004523,3.6963093,termite,68625__headphaze__termites_aug_slow.wav
-552.4653,106.535576,9.745739,30.518871,6.175514,11.945651,-9.869253,3.549055,-5.4532776,-1.9051989,-5.7129073,-4.57889,-1.9868758,-5.727704,-4.8237567,-0.61485386,-5.9631968,-5.688419,-4.492418,-3.8013098,-2.437819,-1.3762763,-3.4828238,-0.22887023,-2.009806,-0.9550937,-5.554826,-0.33168224,-6.063228,-3.687112,-4.0868034,-5.6641107,-2.9733114,-1.6298615,-3.3185952,-0.4625378,-3.839173,-1.700347,-3.3074439,-0.27391696,27.675644,17.19557,9.887659,7.609166,6.5256166,5.62426,6.1544657,5.722599,5.3296623,4.7603745,5.0183997,5.146853,5.138966,4.7026935,4.4573274,4.7907143,4.468642,4.5408587,4.097671,4.1966968,4.45429,3.965145,4.169679,3.6481268,3.63794,3.6818535,3.9955838,3.5709379,3.764312,3.5326674,3.560336,3.6571202,3.7887168,3.419623,3.8249846,3.74132,3.529753,3.8515036,3.186682,3.346657,termite,724207__vivekk21__termites-eating-bamboo-in-night.wav
-589.67053,103.145996,12.144967,29.814943,7.170636,11.793129,-9.643752,3.3569362,-5.215543,-1.5590692,-5.645869,-4.176513,-2.5915694,-5.71317,-4.9203997,-0.30578527,-5.424201,-5.3790984,-4.067082,-3.1156943,-2.6285715,-0.71566665,-3.8038957,-0.0037430534,-2.0550256,-0.892449,-5.588576,-0.22591044,-5.9580064,-3.3060687,-4.3173785,-5.2703977,-2.9561384,-1.3655754,-3.5242524,-0.12807734,-4.2222643,-1.7113414,-3.8426044,0.023975141,26.178745,14.76582,8.879991,7.3816767,6.4220557,5.7647276,6.184204,5.5317087,5.2956967,4.8963227,5.054526,5.1689034,5.1096396,4.818703,4.4407897,4.9185233,4.604468,4.3614545,4.2353387,4.240366,4.6658077,3.873461,4.3149085,3.785211,3.586589,4.1605372,4.151072,4.066387,3.880531,3.7092514,3.5743742,3.6167781,4.06498,3.5013807,3.988045,3.8879306,3.6727185,4.003186,3.502535,3.6007586,termite,724207__vivekk21__termites-eating-bamboo-in-night_aug_fast.wav
-312.74176,2.250378,5.0990787,4.832289,3.7210903,2.4326055,1.4239271,0.5233373,0.06408821,-0.37749088,-0.5784097,-0.870498,-1.1988415,-1.4558643,-1.243365,-1.3719938,-1.3821973,-1.2855046,-1.2027586,-1.1858188,-1.0372263,-0.8006904,-0.5734714,-0.43697613,-0.64396787,-0.6292325,-0.74290633,-1.1381123,-1.3007103,-1.3042185,-1.3096979,-1.1593634,-1.1625215,-0.91758883,-0.94379705,-0.61620057,-0.59760076,-0.52118146,-0.5836199,-0.55031604,3.4980948,3.2380393,3.257009,3.3077228,3.1860688,3.1370294,3.0979648,2.9824188,2.972035,2.9095747,3.1091335,3.0649383,3.0464377,3.155942,3.065762,2.9960175,3.0533264,3.1206737,3.097514,3.0047412,3.223205,3.0536485,2.9878323,2.8697965,3.024849,2.8734198,2.8892245,2.914937,2.7290337,2.729393,2.8534405,2.9262059,2.9386115,2.8700264,2.75423,2.9737246,2.873992,2.9426537,2.8163733,2.8135328,termite,724207__vivekk21__termites-eating-bamboo-in-night_aug_noise.wav
-599.61584,110.447266,4.698225,36.890438,2.434859,21.638388,-10.70835,5.775075,-5.9229326,1.6636323,-6.4018416,-1.6487831,-5.742527,1.5273844,-9.535594,0.06448399,-3.877697,-1.2504765,-6.7337265,-1.7239732,-6.6187677,-0.99994254,-3.2162235,-2.463648,-1.9363703,-0.82578444,1.1792413,-3.9922607,0.74779797,-3.185164,-2.8483503,-2.3319538,-2.887148,-5.926821,-1.5026244,-5.980204,-0.91004604,-3.4844003,0.117298394,-2.9477825,25.134104,14.287253,7.5505443,6.904879,6.0595374,6.3032274,6.3675704,5.578919,5.3895445,5.0463405,5.955783,6.0869727,5.048152,5.093103,4.703824,4.958707,4.570858,4.549119,5.0266557,4.266797,4.340612,4.2685738,4.224222,4.070858,4.0586286,4.1474304,3.9572446,4.050046,3.6909218,3.8555253,3.694269,3.909915,3.760947,3.957997,3.727988,3.9140959,3.846908,3.7562478,3.8954146,3.6725993,termite,724207__vivekk21__termites-eating-bamboo-in-night_aug_pitchdown.wav
-585.1352,101.13578,12.454652,27.44716,4.322495,6.147581,-11.338101,4.4291234,-9.683013,-0.77430093,-9.469236,-0.6480463,-7.2315474,-4.880961,-4.3740406,-4.0017366,-9.437697,-1.6386901,-5.0235405,-0.5309008,-3.356121,-1.334989,-2.6441135,-1.6831167,-5.984961,-4.080996,-4.6993327,-5.1555357,-5.1593413,-2.0221143,-5.5490537,1.2047216,-5.45048,-0.7636024,-4.234177,-0.4990514,-1.4060619,0.8395849,-2.3553488,-0.49876037,25.300186,13.722434,9.157631,7.3006663,6.501591,5.3459563,5.564747,5.6134577,5.285844,5.501289,5.478688,5.019731,5.144493,4.9461317,5.5519276,4.832111,4.3389683,4.458631,4.308637,4.8395147,4.2868223,4.263194,4.063799,4.2426662,4.3990974,4.330761,4.3945827,4.038847,4.4320707,4.137322,4.0413275,3.954357,3.991258,4.5765567,3.9131045,3.9626434,4.1710076,3.8255832,3.7916427,3.7721963,termite,724207__vivekk21__termites-eating-bamboo-in-night_aug_pitchup.wav
