Category,File ID,Description
A.  Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.1,"Plodia interpunctella larvae in dry dog food [1147 kb, 30 s] recorded with Bruel and Kjaer accelerometer"
A.  Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.2,"Individual Plodia interpunctella larva in dry dog food [489 kB, 10 s] recorded with piezoelectric disk sensor"
A.  Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.3,"Sitophilus oryzae larvae (17-18 d old) in wheat kernels [489 kB, 10 s] recorded with PVDF film sensor"
A.  Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.4,"Sitophilus oryzae larvae (16-17 d old) in wheat kernels [489 kB, 10 s] recorded with Bruel and Kjaer accelerometer"
A.  Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.5,"Sitophilus oryzae larvae (16-17 d old) in wheat kernels [489 kB, 10 s] recorded with 40 kHz ultrasonic sensor"
A.  Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.6,"Sitophilus oryzae larvae (17-18 d old) in wheat kernels [977 kB, 10 s] recorded with 30 kHz ultrasonic sensor"
A.  Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.7,"Sitophilus oryzae larvae (16-17 d old) in wheat kernels [977 kB, 10 s] recorded with piezoelectric disk sensor"
A.  Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.8,"Sitophilus zeamais larvae in maize [817 kB, 11 s] recorded with microphone"
A. Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.9,"Sitophilus zeamais adults in maize [731 kB, 10 s] recorded with microphone"
A. Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.10,"Prostephanus truncatus larvae in maize [727 kB, 10 s] recorded with microphone"
A. Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.11,"Prostephanus truncatus adults in maize [822 kB, 11 s] recorded with microphone"
A. Stored Product Insect movement and feeding sounds recorded for insect detection and monitoring studies,A.12,"Blattella germanica (German cockroach adult male [692 kB, 35 s] scurrying in a small arena, recorded with small microphone"
